Car_Name,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Car_Age,Selling_Price_log,Present_Price_log,Driven_kms_log
ertiga,7.25,10.79,41678,Diesel,Dealer,Manual,0,11,2.1102132003465894,2.4672517145492794,10.637752683816972
wagon r,3.25,5.09,35500,CNG,Dealer,Manual,0,11,1.4469189829363254,1.8066480817218056,10.477316144080852
sx4,2.65,7.98,41442,Petrol,Dealer,Manual,0,16,1.2947271675944,2.194999882314108,10.632074268135453
alto k10,2.85,3.95,25000,Petrol,Dealer,Manual,0,10,1.3480731482996928,1.599387576580599,10.12667110305036
ignis,4.9,5.71,2400,Petrol,Dealer,Manual,0,9,1.7749523509116738,1.9035989509835904,7.783640596221253
sx4,4.4,8.01,50000,Petrol,Dealer,Automatic,0,15,1.6863989535702288,2.1983350716202463,10.819798284210286
alto k10,2.5,3.46,45280,Petrol,Dealer,Manual,0,12,1.252762968495368,1.4951487660319727,10.720642797438853
wagon r,2.9,4.41,56879,Petrol,Dealer,Manual,0,13,1.3609765531356006,1.6882490928583902,10.948699064477122
swift,3.0,4.99,20000,Petrol,Dealer,Manual,0,15,1.3862943611198906,1.7900914121273581,9.90353755128617
swift,4.15,5.87,55138,Petrol,Dealer,Manual,0,13,1.6389967146756448,1.927164106234258,10.917612548758637
swift,6.0,6.49,16200,Petrol,Individual,Manual,0,9,1.9459101490553132,2.0135687975291283,9.692828247710418
alto k10,1.95,3.95,44542,Petrol,Dealer,Manual,0,16,1.0818051703517284,1.599387576580599,10.70421029372945
ciaz,7.45,10.38,45000,Diesel,Dealer,Manual,0,11,2.134166441369082,2.431857428698185,10.714439990727769
ritz,3.1,5.98,51439,Diesel,Dealer,Manual,0,14,1.410986973710262,1.9430489167742813,10.8481713589115
ritz,2.35,4.89,54200,Petrol,Dealer,Manual,0,15,1.208960345836975,1.7732559976634952,10.900454637442037
swift,4.95,7.49,39000,Diesel,Dealer,Manual,0,12,1.7833912195575383,2.138889000323256,10.571342565808699
ertiga,6.0,9.95,45000,Diesel,Dealer,Manual,0,12,1.9459101490553132,2.3933394562625097,10.714439990727769
dzire,5.5,8.06,45000,Diesel,Dealer,Manual,0,12,1.8718021769015913,2.203869120054888,10.714439990727769
sx4,2.95,7.74,49998,CNG,Dealer,Manual,0,15,1.3737155789130306,2.167910189667444,10.81975828421028
dzire,4.65,7.2,48767,Petrol,Dealer,Manual,0,11,1.7316555451583497,2.1041341542702074,10.794829639046318
800,0.35,2.28,127000,Petrol,Individual,Manual,0,23,0.3001045924503381,1.1878434223960523,11.751950239425476
alto k10,3.0,3.76,10079,Petrol,Dealer,Manual,0,10,1.3862943611198906,1.5602476682433286,9.21830854162536
sx4,2.25,7.98,62000,Petrol,Dealer,Manual,0,23,1.1786549963416462,2.194999882314108,11.034905792929415
baleno,5.85,7.87,24524,Petrol,Dealer,Automatic,0,10,1.9242486522741338,2.1826747963214883,10.107448284433564
alto k10,2.55,3.98,46706,Petrol,Dealer,Manual,0,12,1.2669476034873244,1.6054298910365616,10.751649325357784
sx4,1.95,7.15,58000,Petrol,Dealer,Manual,0,18,1.0818051703517284,2.0980179272527715,10.968215530759236
dzire,5.5,8.06,45780,Diesel,Dealer,Manual,0,12,1.8718021769015913,2.203869120054888,10.731624436867815
omni,1.25,2.69,50000,Petrol,Dealer,Manual,0,14,0.8109302162163288,1.3056264580524357,10.819798284210286
ciaz,7.5,12.04,15000,Petrol,Dealer,Automatic,0,12,2.1400661634962708,2.5680215564985067,9.61587214452889
ritz,2.65,4.89,64532,Petrol,Dealer,Manual,0,13,1.2947271675944,1.7732559976634952,11.074931999853908
wagon r,1.05,4.15,65000,Petrol,Dealer,Manual,0,20,0.7178397931503169,1.6389967146756448,11.082157933374816
ertiga,5.8,7.71,25870,Petrol,Dealer,Manual,0,11,1.916922612182061,2.1644717908644115,10.16087792924552
ciaz,7.75,9.29,37000,Petrol,Dealer,Automatic,0,9,2.169053700369523,2.331172549845958,10.518700218288165
fortuner,14.9,30.61,104707,Diesel,Dealer,Automatic,0,14,2.766319109226186,3.4534735262275262,11.558930802726636
fortuner,23.0,30.61,40000,Diesel,Dealer,Automatic,0,11,3.1780538303479458,3.4534735262275262,10.596659732783579
innova,18.0,19.77,15000,Diesel,Dealer,Automatic,0,9,2.9444389791664403,3.033509637888021,9.61587214452889
fortuner,16.0,30.61,135000,Diesel,Individual,Automatic,0,13,2.833213344056216,3.4534735262275262,11.813037464800539
innova,2.75,10.21,90000,Petrol,Individual,Manual,0,21,1.3217558399823195,2.4168062370840686,11.407576060361786
corolla altis,3.6,15.04,70000,Petrol,Dealer,Automatic,0,17,1.5260563034950492,2.7750856024383683,11.156264806643742
etios cross,4.5,7.27,40534,Petrol,Dealer,Manual,0,11,1.7047480922384253,2.1126345090356,10.609921077421808
corolla altis,4.75,18.54,50000,Petrol,Dealer,Manual,0,16,1.749199854809259,2.972463646614637,10.819798284210286
etios g,4.1,6.8,39485,Petrol,Dealer,Manual,1,12,1.62924053973028,2.0541237336955462,10.583701457684175
fortuner,19.99,35.96,41000,Diesel,Dealer,Automatic,0,12,3.0440461338325417,3.6098362467734835,10.62135173563291
corolla altis,6.95,18.61,40001,Petrol,Dealer,Manual,0,13,2.0731719286662407,2.976039640208255,10.596684731846114
etios cross,4.5,7.7,40588,Petrol,Dealer,Manual,0,11,1.7047480922384253,2.163323025660538,10.611252372919454
fortuner,18.75,35.96,78000,Diesel,Dealer,Automatic,0,12,2.9831534913471307,3.6098362467734835,11.264476926102367
fortuner,23.5,35.96,47000,Diesel,Dealer,Automatic,0,11,3.1986731175506815,3.6098362467734835,10.757924157061597
fortuner,33.0,36.23,6000,Diesel,Dealer,Automatic,0,9,3.5263605246161616,3.6171148878846253,8.699681400989514
etios liva,4.75,6.95,45000,Diesel,Dealer,Manual,0,12,1.749199854809259,2.0731719286662407,10.714439990727769
innova,19.75,23.15,11000,Petrol,Dealer,Automatic,0,9,3.0325462466767075,3.184284380098582,9.305741456739435
fortuner,9.25,20.45,59000,Diesel,Dealer,Manual,0,16,2.327277705584417,3.065724645374026,10.985309671896763
corolla altis,4.35,13.74,88000,Petrol,Dealer,Manual,0,15,1.6770965609079151,2.6905648867611904,11.385103457032141
corolla altis,14.25,20.91,12000,Petrol,Dealer,Manual,0,10,2.7245795030534206,3.086943153607375,9.392745258631441
etios liva,3.95,6.76,71000,Diesel,Dealer,Manual,0,12,1.599387576580599,2.048982334195127,11.170449240431308
corolla altis,4.5,12.48,45000,Diesel,Dealer,Manual,0,15,1.7047480922384253,2.601207105484161,10.714439990727769
corolla altis,7.45,18.61,56001,Petrol,Dealer,Manual,0,13,2.134166441369082,2.976039640208255,10.933142683365261
etios liva,2.65,5.71,43000,Petrol,Dealer,Manual,0,15,1.2947271675944,1.9035989509835904,10.668978650219241
etios cross,4.9,8.93,83000,Diesel,Dealer,Manual,0,12,1.7749523509116738,2.295560478057081,11.326607934898927
etios g,3.95,6.8,36000,Petrol,Dealer,Manual,0,11,1.599387576580599,2.0541237336955462,10.491301994830229
corolla altis,5.5,14.68,72000,Petrol,Dealer,Manual,0,13,1.8718021769015913,2.7523860149222616,11.184435286790631
corolla,1.5,12.35,135154,Petrol,Dealer,Automatic,0,22,0.9162907318741551,2.5915163848462583,11.81417754695071
corolla altis,5.25,22.83,80000,Petrol,Dealer,Automatic,0,16,1.8325814637483102,3.170945291110651,11.289794413577894
fortuner,14.5,30.61,89000,Diesel,Dealer,Automatic,0,14,2.740840023925201,3.4534735262275262,11.39640288460621
corolla altis,14.73,14.89,23000,Diesel,Dealer,Manual,0,10,2.7555697170701863,2.7656899805486246,10.043292972227004
etios gd,4.75,7.85,40000,Diesel,Dealer,Manual,0,11,1.749199854809259,2.180417459019838,10.596659732783579
innova,23.0,25.39,15000,Diesel,Dealer,Automatic,0,9,3.1780538303479458,3.2729851505152325,9.61587214452889
innova,12.5,13.46,38000,Diesel,Dealer,Manual,0,11,2.6026896854443837,2.671386216730619,10.545367754151743
innova,3.49,13.46,197176,Diesel,Dealer,Manual,0,21,1.501852701754163,2.671386216730619,12.191857081488491
camry,2.5,23.73,142000,Petrol,Individual,Automatic,3,20,1.252762968495368,3.208017081533325,11.863589378812122
land cruiser,35.0,92.6,78000,Diesel,Dealer,Manual,0,16,3.58351893845611,4.539030383483547,11.264476926102367
corolla altis,5.9,13.74,56000,Petrol,Dealer,Manual,0,14,1.9315214116032138,2.6905648867611904,10.933124826700707
etios liva,3.45,6.05,47000,Petrol,Dealer,Manual,0,13,1.4929040961781488,1.9530276168241774,10.757924157061597
etios g,4.75,6.76,40000,Petrol,Dealer,Manual,0,12,1.749199854809259,2.048982334195127,10.596659732783579
corolla altis,3.8,18.61,62000,Petrol,Dealer,Manual,0,17,1.5686159179138452,2.976039640208255,11.034905792929415
innova,11.25,16.09,58242,Diesel,Dealer,Manual,0,12,2.505525936990736,2.8384934971274993,10.972379192532934
innova,3.51,13.7,75000,Petrol,Dealer,Manual,0,21,1.506297153514587,2.6878474937846906,11.225256725762893
corolla altis,4.0,22.78,89000,Petrol,Dealer,Automatic,0,18,1.6094379124341003,3.1688448912626357,11.39640288460621
corolla altis,5.85,18.61,72000,Petrol,Dealer,Manual,0,14,1.9242486522741338,2.976039640208255,11.184435286790631
innova,20.75,25.39,29000,Diesel,Dealer,Automatic,0,10,3.079613757534693,3.2729851505152325,10.275085591132715
corolla altis,17.0,18.64,8700,Petrol,Dealer,Manual,0,9,2.8903717578961645,2.97756830292632,9.071193240566025
corolla altis,7.05,18.61,45000,Petrol,Dealer,Manual,0,13,2.0856720914304723,2.976039640208255,10.714439990727769
fortuner,9.65,20.45,50024,Diesel,Dealer,Manual,0,16,2.365559892155434,3.065724645374026,10.820278159451934
Royal Enfield Thunder 500,1.75,1.9,3000,Petrol,Individual,Manual,0,10,1.0116009116784799,1.0647107369924282,8.006700845440367
UM Renegade Mojave,1.7,1.82,1400,Petrol,Individual,Manual,0,9,0.9932517730102833,1.0367368849500223,7.244941546337007
KTM RC200,1.65,1.78,4000,Petrol,Individual,Manual,0,9,0.9745596399981308,1.0224509277025458,8.294299608857235
Bajaj Dominar 400,1.45,1.6,1200,Petrol,Individual,Manual,0,9,0.8960880245566356,0.9555114450274363,7.0909098220799835
Royal Enfield Classic 350,1.35,1.47,4100,Petrol,Individual,Manual,0,9,0.8544153281560676,0.9042181506398859,8.31898612539206
KTM RC390,1.35,2.37,21700,Petrol,Individual,Manual,0,11,0.8544153281560676,1.2149127443642704,9.985113621416073
Hyosung GT250R,1.35,3.45,16500,Petrol,Individual,Manual,1,12,0.8544153281560676,1.4929040961781488,9.711176264112805
Royal Enfield Thunder 350,1.25,1.5,15000,Petrol,Individual,Manual,0,13,0.8109302162163288,0.9162907318741551,9.61587214452889
Royal Enfield Thunder 350,1.2,1.5,18000,Petrol,Individual,Manual,0,10,0.7884573603642702,0.9162907318741551,9.798182590890704
Royal Enfield Classic 350,1.2,1.47,11000,Petrol,Individual,Manual,0,9,0.7884573603642702,0.9042181506398859,9.305741456739435
KTM RC200,1.2,1.78,6000,Petrol,Individual,Manual,0,10,0.7884573603642702,1.0224509277025458,8.699681400989514
Royal Enfield Thunder 350,1.15,1.5,8700,Petrol,Individual,Manual,0,10,0.7654678421395714,0.9162907318741551,9.071193240566025
KTM 390 Duke ,1.15,2.4,7000,Petrol,Individual,Manual,0,12,0.7654678421395714,1.2237754316221157,8.853808274977197
Mahindra Mojo XT300,1.15,1.4,35000,Petrol,Individual,Manual,0,10,0.7654678421395714,0.8754687373538999,10.463131911491967
Royal Enfield Classic 350,1.15,1.47,17000,Petrol,Individual,Manual,0,11,0.7654678421395714,0.9042181506398859,9.741027444837728
Royal Enfield Classic 350,1.11,1.47,17500,Petrol,Individual,Manual,0,11,0.7466879474879752,0.9042181506398859,9.770013301136158
Royal Enfield Classic 350,1.1,1.47,33000,Petrol,Individual,Manual,0,13,0.7419373447293773,0.9042181506398859,10.404293143019792
Royal Enfield Thunder 500,1.1,1.9,14000,Petrol,Individual,Manual,0,11,0.7419373447293773,1.0647107369924282,9.546884034617925
Royal Enfield Classic 350,1.1,1.47,26000,Petrol,Individual,Manual,0,11,0.7419373447293773,0.9042181506398859,10.165890277802454
Royal Enfield Thunder 500,1.05,1.9,5400,Petrol,Individual,Manual,0,13,0.7178397931503169,1.0647107369924282,8.594339400592892
Bajaj Pulsar RS200,1.05,1.26,5700,Petrol,Individual,Manual,0,10,0.7178397931503169,0.8153648132841945,8.648396877031582
Royal Enfield Thunder 350,1.05,1.5,6900,Petrol,Individual,Manual,0,15,0.7178397931503169,0.9162907318741551,8.839421607620602
Royal Enfield Bullet 350,1.05,1.17,6000,Petrol,Individual,Manual,0,10,0.7178397931503169,0.7747271675523681,8.699681400989514
Royal Enfield Classic 350,1.0,1.47,46500,Petrol,Individual,Manual,0,13,0.6931471805599453,0.9042181506398859,10.747229096720554
Royal Enfield Classic 500,0.95,1.75,11500,Petrol,Individual,Manual,0,14,0.6678293725756554,1.0116009116784799,9.350189267092581
Royal Enfield Classic 500,0.9,1.75,40000,Petrol,Individual,Manual,0,17,0.6418538861723948,1.0116009116784799,10.596659732783579
Bajaj Avenger 220,0.9,0.95,1300,Petrol,Individual,Manual,0,9,0.6418538861723948,0.6678293725756554,7.170888478512505
Bajaj Avenger 150,0.75,0.8,7000,Petrol,Individual,Manual,0,10,0.5596157879354227,0.5877866649021191,8.853808274977197
Honda CB Hornet 160R,0.8,0.87,3000,Petrol,Individual,Manual,0,9,0.5877866649021191,0.6259384308664953,8.006700845440367
Yamaha FZ S V 2.0,0.78,0.84,5000,Petrol,Individual,Manual,0,9,0.5766133643039938,0.6097655716208943,8.517393171418904
Honda CB Hornet 160R,0.75,0.87,11000,Petrol,Individual,Manual,0,9,0.5596157879354227,0.6259384308664953,9.305741456739435
Yamaha FZ 16,0.75,0.82,18000,Petrol,Individual,Manual,0,11,0.5596157879354227,0.598836501088704,9.798182590890704
Bajaj Avenger 220,0.75,0.95,3500,Petrol,Individual,Manual,0,9,0.5596157879354227,0.6678293725756554,8.160803920954665
Bajaj Avenger 220,0.72,0.95,500,Petrol,Individual,Manual,0,10,0.5423242908253617,0.6678293725756554,6.2166061010848646
TVS Apache RTR 160,0.65,0.81,11800,Petrol,Individual,Manual,0,9,0.5007752879124893,0.5933268452777344,9.375939552625749
Bajaj Pulsar 150,0.65,0.74,5000,Petrol,Individual,Manual,0,11,0.5007752879124893,0.5538851132264376,8.517393171418904
Honda CBR 150,0.65,1.2,23500,Petrol,Individual,Manual,0,12,0.5007752879124893,0.7884573603642702,10.064798252418377
Hero Extreme,0.65,0.787,16000,Petrol,Individual,Manual,0,13,0.5007752879124893,0.5805382361772911,9.680406499268875
Honda CB Hornet 160R,0.6,0.87,15000,Petrol,Individual,Manual,0,10,0.4700036292457356,0.6259384308664953,9.61587214452889
Bajaj Avenger 220 dtsi,0.6,0.95,16600,Petrol,Individual,Manual,0,11,0.4700036292457356,0.6678293725756554,9.717218213494077
Honda CBR 150,0.6,1.2,32000,Petrol,Individual,Manual,0,13,0.4700036292457356,0.7884573603642702,10.373522431293592
Bajaj Avenger 150 street,0.6,0.8,20000,Petrol,Individual,Manual,0,10,0.4700036292457356,0.5877866649021191,9.90353755128617
Yamaha FZ  v 2.0,0.6,0.84,29000,Petrol,Individual,Manual,0,11,0.4700036292457356,0.6097655716208943,10.275085591132715
Yamaha FZ  v 2.0,0.6,0.84,25000,Petrol,Individual,Manual,0,10,0.4700036292457356,0.6097655716208943,10.12667110305036
Bajaj Pulsar  NS 200,0.6,0.99,25000,Petrol,Individual,Manual,0,12,0.4700036292457356,0.688134638736401,10.12667110305036
TVS Apache RTR 160,0.6,0.81,19000,Petrol,Individual,Manual,0,14,0.4700036292457356,0.5933268452777344,9.852246888342531
Hero Extreme,0.55,0.787,15000,Petrol,Individual,Manual,0,12,0.4382549309311553,0.5805382361772911,9.61587214452889
Yamaha FZ S V 2.0,0.55,0.84,58000,Petrol,Individual,Manual,0,11,0.4382549309311553,0.6097655716208943,10.968215530759236
Bajaj Pulsar 220 F,0.52,0.94,45000,Petrol,Individual,Manual,0,16,0.41871033485818504,0.6626879730752367,10.714439990727769
Bajaj Pulsar 220 F,0.51,0.94,24000,Petrol,Individual,Manual,0,10,0.412109650826833,0.6626879730752367,10.085850775128717
TVS Apache RTR 180,0.5,0.826,6000,Petrol,Individual,Manual,0,15,0.4054651081081644,0.6021277821727766,8.699681400989514
Hero Passion X pro,0.5,0.55,31000,Petrol,Individual,Manual,0,10,0.4054651081081644,0.4382549309311553,10.34177474101152
Bajaj Pulsar NS 200,0.5,0.99,13000,Petrol,Individual,Manual,0,14,0.4054651081081644,0.688134638736401,9.472781556562168
Bajaj Pulsar NS 200,0.5,0.99,45000,Petrol,Individual,Manual,0,13,0.4054651081081644,0.688134638736401,10.714439990727769
Yamaha Fazer ,0.5,0.88,8000,Petrol,Individual,Manual,0,12,0.4054651081081644,0.6312717768418579,8.987321812850125
Honda Activa 4G,0.48,0.51,4300,Petrol,Individual,Automatic,0,9,0.3920420877760237,0.412109650826833,8.366602832783736
TVS Sport ,0.48,0.52,15000,Petrol,Individual,Manual,0,9,0.3920420877760237,0.41871033485818504,9.61587214452889
Yamaha FZ S V 2.0,0.48,0.84,23000,Petrol,Individual,Manual,0,11,0.3920420877760237,0.6097655716208943,10.043292972227004
Honda Dream Yuga ,0.48,0.54,8600,Petrol,Individual,Manual,0,9,0.3920420877760237,0.43178241642553783,9.059633754551479
Honda Activa 4G,0.45,0.51,4000,Petrol,Individual,Automatic,0,9,0.37156355643248307,0.412109650826833,8.294299608857235
Bajaj Avenger Street 220,0.45,0.95,24000,Petrol,Individual,Manual,0,15,0.37156355643248307,0.6678293725756554,10.085850775128717
TVS Apache RTR 180,0.45,0.826,23000,Petrol,Individual,Manual,0,12,0.37156355643248307,0.6021277821727766,10.043292972227004
Bajaj Pulsar NS 200,0.45,0.99,14500,Petrol,Individual,Manual,0,14,0.37156355643248307,0.688134638736401,9.581972891547895
Bajaj Avenger 220 dtsi,0.45,0.95,27000,Petrol,Individual,Manual,0,16,0.37156355643248307,0.6678293725756554,10.203629181337648
Hero Splender iSmart,0.45,0.54,14000,Petrol,Individual,Manual,0,10,0.37156355643248307,0.43178241642553783,9.546884034617925
Activa 3g,0.45,0.54,500,Petrol,Individual,Automatic,0,10,0.37156355643248307,0.43178241642553783,6.2166061010848646
Hero Passion Pro,0.45,0.55,1000,Petrol,Individual,Manual,0,10,0.37156355643248307,0.4382549309311553,6.90875477931522
TVS Apache RTR 160,0.42,0.81,42000,Petrol,Individual,Manual,0,12,0.3506568716131694,0.5933268452777344,10.645448706505872
Honda CB Trigger,0.42,0.73,12000,Petrol,Individual,Manual,0,13,0.3506568716131694,0.5481214085096876,9.392745258631441
Hero Splender iSmart,0.4,0.54,14000,Petrol,Individual,Manual,0,11,0.33647223662121295,0.43178241642553783,9.546884034617925
Yamaha FZ S ,0.4,0.83,5500,Petrol,Individual,Manual,0,14,0.33647223662121295,0.6043159668533294,8.612685172875459
Hero Passion Pro,0.4,0.55,6700,Petrol,Individual,Manual,0,11,0.33647223662121295,0.4382549309311553,8.81001204797317
Bajaj Pulsar 135 LS,0.4,0.64,13700,Petrol,Individual,Manual,0,12,0.33647223662121295,0.49469624183610705,9.525224101853109
Activa 4g,0.4,0.51,1300,Petrol,Individual,Automatic,0,9,0.33647223662121295,0.412109650826833,7.170888478512505
Honda CB Unicorn,0.38,0.72,38600,Petrol,Individual,Manual,0,11,0.3220834991691133,0.5423242908253617,10.5610334618531
Hero Honda CBZ extreme,0.38,0.787,75000,Petrol,Individual,Manual,0,15,0.3220834991691133,0.5805382361772911,11.225256725762893
Honda Karizma,0.35,1.05,30000,Petrol,Individual,Manual,0,15,0.3001045924503381,0.7178397931503169,10.308985993422082
Honda Activa 125,0.35,0.57,24000,Petrol,Individual,Automatic,0,10,0.3001045924503381,0.4510756193602166,10.085850775128717
TVS Jupyter,0.35,0.52,19000,Petrol,Individual,Automatic,0,12,0.3001045924503381,0.41871033485818504,9.852246888342531
Honda Karizma,0.31,1.05,213000,Petrol,Individual,Manual,0,16,0.27002713721306015,0.7178397931503169,12.269052139516223
Hero Honda Passion Pro,0.3,0.51,60000,Petrol,Individual,Manual,0,14,0.262364264467491,0.412109650826833,11.002116507732017
Hero Splender Plus,0.3,0.48,50000,Petrol,Individual,Manual,0,10,0.262364264467491,0.3920420877760237,10.819798284210286
Honda CB Shine,0.3,0.58,30000,Petrol,Individual,Manual,0,13,0.262364264467491,0.4574248470388754,10.308985993422082
Bajaj Discover 100,0.27,0.47,21000,Petrol,Individual,Manual,0,13,0.23901690047049992,0.3852624007906449,9.952325334619427
Bajaj Pulsar 150,0.25,0.75,26000,Petrol,Individual,Manual,1,18,0.22314355131420976,0.5596157879354227,10.165890277802454
Suzuki Access 125,0.25,0.58,1900,Petrol,Individual,Automatic,0,18,0.22314355131420976,0.4574248470388754,7.550135342488429
TVS Wego,0.25,0.52,22000,Petrol,Individual,Automatic,0,16,0.22314355131420976,0.41871033485818504,9.99884318585288
Honda CB twister,0.25,0.51,32000,Petrol,Individual,Manual,0,13,0.22314355131420976,0.412109650826833,10.373522431293592
Hero Glamour,0.25,0.57,18000,Petrol,Individual,Manual,0,13,0.22314355131420976,0.4510756193602166,9.798182590890704
Hero Super Splendor,0.2,0.57,55000,Petrol,Individual,Manual,0,21,0.18232155679395465,0.4510756193602166,10.915106645867503
Bajaj Pulsar 150,0.2,0.75,60000,Petrol,Individual,Manual,0,18,0.18232155679395465,0.5596157879354227,11.002116507732017
Bajaj Discover 125,0.2,0.57,25000,Petrol,Individual,Manual,1,14,0.18232155679395465,0.4510756193602166,10.12667110305036
Hero Hunk,0.2,0.75,49000,Petrol,Individual,Manual,1,19,0.18232155679395465,0.5596157879354227,10.799595985047786
Hero  Ignitor Disc,0.2,0.65,24000,Petrol,Individual,Manual,1,13,0.18232155679395465,0.5007752879124893,10.085850775128717
Hero  CBZ Xtreme,0.2,0.787,50000,Petrol,Individual,Manual,0,18,0.18232155679395465,0.5805382361772911,10.819798284210286
Bajaj  ct 100,0.18,0.32,35000,Petrol,Individual,Manual,0,11,0.16551443847757338,0.2776317365982795,10.463131911491967
Activa 3g,0.17,0.52,500000,Petrol,Individual,Automatic,0,18,0.15700374880966478,0.41871033485818504,13.122365377402328
Honda CB twister,0.16,0.51,33000,Petrol,Individual,Manual,0,16,0.1484200051182733,0.412109650826833,10.404293143019792
Bajaj Discover 125,0.15,0.57,35000,Petrol,Individual,Manual,1,15,0.1397619423751587,0.4510756193602166,10.463131911491967
Honda CB Shine,0.12,0.58,53000,Petrol,Individual,Manual,0,19,0.11332868530700317,0.4574248470388754,10.87806606028079
Bajaj Pulsar 150,0.1,0.75,92233,Petrol,Individual,Manual,0,20,0.09531017980432487,0.5596157879354227,11.432084105125599
i20,3.25,6.79,58000,Diesel,Dealer,Manual,1,16,1.4469189829363254,2.052840859882657,10.968215530759236
grand i10,4.4,5.7,28200,Petrol,Dealer,Manual,0,11,1.6863989535702288,1.9021075263969205,10.247112717290387
i10,2.95,4.6,53460,Petrol,Dealer,Manual,0,15,1.3737155789130306,1.7227665977411035,10.886707695092223
eon,2.75,4.43,28282,Petrol,Dealer,Manual,0,11,1.3217558399823195,1.691939133945844,10.250016196420983
grand i10,5.25,5.7,3493,Petrol,Dealer,Manual,1,10,1.8325814637483102,1.9021075263969205,8.158802490694002
xcent,5.75,7.13,12479,Petrol,Dealer,Manual,0,9,1.9095425048844386,2.0955609235597192,9.43188264192342
grand i10,5.15,5.7,34797,Petrol,Dealer,Automatic,0,11,1.8164520818184267,1.9021075263969205,10.45731519284666
i20,7.9,8.1,3435,Petrol,Dealer,Manual,0,9,2.186051276738094,2.2082744135228043,8.142063283104147
grand i10,4.85,5.7,21125,Diesel,Dealer,Manual,0,11,1.766441661243765,1.9021075263969205,9.958259788383108
i10,3.1,4.6,35775,Petrol,Dealer,Manual,0,14,1.410986973710262,1.7227665977411035,10.48503255651477
elantra,11.75,14.79,43535,Diesel,Dealer,Manual,0,11,2.545531271604435,2.7593768282675506,10.681343461023028
creta,11.25,13.6,22671,Petrol,Dealer,Manual,0,10,2.505525936990736,2.681021528714291,10.028885961930461
i20,2.9,6.79,31604,Petrol,Dealer,Manual,0,15,1.3609765531356006,2.052840859882657,10.3610706149064
grand i10,5.25,5.7,20114,Petrol,Dealer,Manual,0,9,1.8325814637483102,1.9021075263969205,9.909221084383889
verna,4.5,9.4,36100,Petrol,Dealer,Manual,0,14,1.7047480922384253,2.341805806147327,10.494075844768336
eon,2.9,4.43,12500,Petrol,Dealer,Manual,0,10,1.3609765531356006,1.691939133945844,9.433563920090563
eon,3.15,4.43,15000,Petrol,Dealer,Manual,0,10,1.423108334242607,1.691939133945844,9.61587214452889
verna,6.45,8.4,45078,Petrol,Dealer,Manual,0,12,2.0082140323914683,2.2407096892759584,10.716171785121514
verna,4.5,9.4,36000,Petrol,Dealer,Manual,0,14,1.7047480922384253,2.341805806147327,10.491301994830229
eon,3.5,5.43,38488,Petrol,Dealer,Manual,0,9,1.5040773967762742,1.860974538249528,10.55812776516606
i20,4.5,6.79,32000,Petrol,Dealer,Automatic,0,13,1.7047480922384253,2.052840859882657,10.373522431293592
i20,6.0,7.6,77632,Diesel,Dealer,Manual,0,12,1.9459101490553132,2.151762203259462,11.259747873506827
verna,8.25,9.4,61381,Diesel,Dealer,Manual,0,11,2.224623551524334,2.341805806147327,11.024871911546436
verna,5.11,9.4,36198,Petrol,Dealer,Automatic,0,13,1.809926773183504,2.341805806147327,10.496786773122912
